variable,death
Cardiovascular.diseases,1942052679
Neoplasms,1010360439
Chronic.respiratory.diseases,461135205.6
Lower.respiratory.infections,378556981.6
Neonatal.disorders,311349426.4
Digestive.diseases,267066429.3
Diarrheal.diseases,253433867.6
Alzheimer.disease.and.other.dementias,223813163.1
Tuberculosis,186220607.4
HIV.AIDS,181636267.4
Road.injuries,165320296.6
Cirrhosis.and.other.chronic.liver.diseases,146851410.6
Diabetes.mellitus,126015384.5
Chronic.kidney.disease,115709952.1
Malaria,107963024.9
Suicides,106261887.7
Nutritional.deficiencies,57172253.72
Interpersonal.violence,55718277.32
Drowning,53868059.93
